alg	tssize	tcsize	sig_time	prio_time	tot_time
ART-D	1000	1000	0	106.71066	106.71066
ART-D	2000	1000	0	517.17092	517.17092
ART-D	3000	1000	0	1252.432189	1252.432189
ART-D	4000	1000	0	2364.949959	2364.949959
ART-D	5000	1000	0	3844.898935	3844.898935
ART-D	6000	1000	0	5605.589034	5605.589034
ART-D	7000	1000	0	7814.033134	7814.033134
ART-D	1000	10000	0	951.665956	951.665956
ART-D	2000	10000	0	6256.641127	6256.641127
ART-D	3000	10000	0	14925.356674	14925.356674
ART-D	1000	100000	0	16533.075577	16533.075577
ART-F	1000	1000	0	188.243474	188.243474
ART-F	2000	1000	0	758.542349	758.542349
ART-F	3000	1000	0	1696.488056	1696.488056
ART-F	4000	1000	0	2982.164505	2982.164505
ART-F	5000	1000	0	4624.928999	4624.928999
ART-F	6000	1000	0	6612.829354	6612.829354
ART-F	7000	1000	0	8230.920154	8230.920154
ART-F	1000	10000	0	1943.698844	1943.698844
ART-F	2000	10000	0	7745.423162	7745.423162
ART-F	1000	100000	0	28072.739819	28072.739819
FAST-all	1000	1000	0.655301	0.053418	0.708719
FAST-all	2000	1000	1.280511	0.116864	1.397375
FAST-all	3000	1000	1.819135	0.176271	1.995406
FAST-all	4000	1000	2.430847	0.238103	2.66895
FAST-all	5000	1000	3.04387	0.284452	3.328322
FAST-all	6000	1000	3.571519	0.354261	3.92578
FAST-all	7000	1000	4.176479	0.406691	4.58317
FAST-all	8000	1000	4.77476	0.461295	5.236055
FAST-all	9000	1000	8.226958	0.544741	8.771699
FAST-all	10000	1000	11.819171	0.562493	12.381664
FAST-all	20000	1000	22.301578	1.186815	23.488393
FAST-all	30000	1000	35.459537	1.781104	37.240641
FAST-all	40000	1000	35.969079	2.346685	38.315764
FAST-all	50000	1000	41.891371	1.579533	43.470904
FAST-all	60000	1000	47.200242	3.649104	50.849346
FAST-all	70000	1000	47.84659	4.356127	52.202717
FAST-all	80000	1000	53.685323	5.438261	59.123584
FAST-all	90000	1000	57.983598	5.855605	63.839203
FAST-all	100000	1000	60.073044	3.459909	63.532953
FAST-all	200000	1000	119.670547	7.42713	127.097677
FAST-all	300000	1000	179.204608	11.021669	190.226277
FAST-all	400000	1000	238.801952	14.777014	253.578966
FAST-all	500000	1000	299.13992	18.152129	317.292049
FAST-all	600000	1000	358.536404	20.66173	379.198134
FAST-all	700000	1000	419.804493	26.942637	446.74713
FAST-all	800000	1000	478.341648	28.896857	507.238505
FAST-all	900000	1000	1005.384331	33.548844	1038.933175
FAST-all	1000000	1000	1009.076095	37.4958	1046.571895
FAST-all	1000	10000	5.899462	0.053067	5.952529
FAST-all	2000	10000	11.534227	0.068919	11.603146
FAST-all	3000	10000	17.231885	0.091552	17.323437
FAST-all	4000	10000	22.960773	0.126292	23.087065
FAST-all	5000	10000	28.829545	0.15892	28.988465
FAST-all	6000	10000	34.623473	0.179796	34.803269
FAST-all	7000	10000	40.583757	0.204983	40.78874
FAST-all	8000	10000	46.253683	0.251196	46.504879
FAST-all	9000	10000	52.102532	0.279126	52.381658
FAST-all	10000	10000	57.612042	0.311299	57.923341
FAST-all	20000	10000	115.565402	0.58606	116.151462
FAST-all	30000	10000	175.917852	0.956356	176.874208
FAST-all	40000	10000	233.786581	1.29762	235.084201
FAST-all	50000	10000	289.935964	1.614104	291.550068
FAST-all	60000	10000	346.018246	1.97617	347.994416
FAST-all	70000	10000	402.623211	2.316145	404.939356
FAST-all	80000	10000	460.097686	2.676105	462.773791
FAST-all	90000	10000	537.202867	2.963986	540.166853
FAST-all	100000	10000	1225.886587	7.625119	1233.511706
FAST-all	200000	10000	2451.019643	12.091247	2463.11089
FAST-all	300000	10000	3473.908172	19.733121	3493.641293
FAST-all	400000	10000	3697.871924	26.902315	3724.774239
FAST-all	500000	10000	3845.962962	16.604452	3862.567414
FAST-all	600000	10000	4057.059129	21.027605	4078.086734
FAST-all	700000	10000	4810.943179	24.769531	4835.71271
FAST-all	800000	10000	4913.035679	30.675917	4943.711596
FAST-all	900000	10000	5332.573974	31.967823	5364.541797
FAST-all	1000000	10000	5786.643399	37.894198	5824.537597
FAST-all	1000	100000	109.272982	0.057493	109.330475
FAST-all	2000	100000	135.893872	0.1023	135.996172
FAST-all	3000	100000	203.414627	0.0993	203.513927
FAST-all	4000	100000	243.646358	0.120545	243.766903
FAST-all	5000	100000	308.701111	0.153012	308.854123
FAST-all	6000	100000	382.000422	0.175596	382.176018
FAST-all	7000	100000	434.986468	0.21948	435.205948
FAST-all	8000	100000	519.860355	0.277517	520.137872
FAST-all	9000	100000	594.085773	0.262201	594.347974
FAST-all	10000	100000	606.612803	0.293967	606.90677
FAST-all	20000	100000	1241.845247	0.734326	1242.579573
FAST-all	30000	100000	1856.920651	1.019248	1857.939899
FAST-all	40000	100000	2425.786075	2.122873	2427.908948
FAST-all	50000	100000	3259.592384	2.97892	3262.571304
FAST-all	60000	100000	3563.426021	3.571169	3566.99719
FAST-all	70000	100000	4225.823668	4.169535	4229.993203
FAST-all	80000	100000	5005.30444	5.141257	5010.445697
FAST-all	90000	100000	5326.302142	5.666926	5331.969068
FAST-all	100000	100000	6092.729644	6.530046	6099.25969
FAST-all	200000	100000	18205.388597	6.846856	18212.235453
FAST-all	300000	100000	20562.860854	20.004406	20582.86526
FAST-all	400000	100000	28799.241944	13.554116	28812.79606
FAST-all	500000	100000	29137.44117	17.135513	29154.576683
FAST-all	600000	100000	34623.205409	23.175159	34646.380568
FAST-all	700000	100000	40506.281794	27.289976	40533.57177
FAST-all	800000	100000	54534.664542	57.095431	54591.759973
FAST-all	900000	100000	62798.414032	54.347463	62852.761495
FAST-all	1000000	100000	83606.939703	39.344519	83646.284222
FAST-log	1000	1000	0.655301	0.084047	0.739348
FAST-log	2000	1000	1.280511	0.13557	1.416081
FAST-log	3000	1000	1.819135	0.233394	2.052529
FAST-log	4000	1000	2.430847	0.354941	2.785788
FAST-log	5000	1000	3.04387	0.470378	3.514248
FAST-log	6000	1000	3.571519	0.629199	4.200718
FAST-log	7000	1000	4.176479	0.800394	4.976873
FAST-log	8000	1000	4.77476	0.981011	5.755771
FAST-log	9000	1000	8.226958	1.249	9.475958
FAST-log	10000	1000	11.819171	1.467141	13.286312
FAST-log	20000	1000	22.301578	4.895005	27.196583
FAST-log	30000	1000	35.459537	10.434881	45.894418
FAST-log	40000	1000	35.969079	19.229181	55.19826
FAST-log	50000	1000	41.891371	30.58151	72.472881
FAST-log	60000	1000	47.200242	47.388489	94.588731
FAST-log	70000	1000	47.84659	78.688114	126.534704
FAST-log	80000	1000	53.685323	111.373795	165.059118
FAST-log	90000	1000	57.983598	135.758979	193.742577
FAST-log	100000	1000	60.073044	185.117907	245.190951
FAST-log	200000	1000	119.670547	831.786182	951.456729
FAST-log	300000	1000	179.204608	1862.316844	2041.521452
FAST-log	400000	1000	238.801952	3074.372811	3313.174763
FAST-log	500000	1000	299.13992	5241.291389	5540.431309
FAST-log	600000	1000	358.536404	6374.59505	6733.131454
FAST-log	700000	1000	419.804493	8375.946731	8795.751224
FAST-log	800000	1000	478.341648	10744.182653	11222.524301
FAST-log	900000	1000	1005.384331	13206.29912	14211.683451
FAST-log	1000000	1000	1009.076095	16115.780059	17124.856154
FAST-log	1000	10000	5.899462	0.08907	5.988532
FAST-log	2000	10000	11.534227	0.206444	11.740671
FAST-log	3000	10000	17.231885	0.377452	17.609337
FAST-log	4000	10000	22.960773	0.55784	23.518613
FAST-log	5000	10000	28.829545	0.779141	29.608686
FAST-log	6000	10000	34.623473	1.030545	35.654018
FAST-log	7000	10000	40.583757	1.316376	41.900133
FAST-log	8000	10000	46.253683	1.604329	47.858012
FAST-log	9000	10000	52.102532	2.090366	54.192898
FAST-log	10000	10000	57.612042	2.469431	60.081473
FAST-log	20000	10000	115.565402	7.911554	123.476956
FAST-log	30000	10000	175.917852	13.476657	189.394509
FAST-log	40000	10000	233.786581	24.106894	257.893475
FAST-log	50000	10000	289.935964	40.273206	330.20917
FAST-log	60000	10000	346.018246	57.963106	403.981352
FAST-log	70000	10000	402.623211	78.101492	480.724703
FAST-log	80000	10000	460.097686	112.814215	572.911901
FAST-log	90000	10000	537.202867	136.556331	673.759198
FAST-log	100000	10000	1225.886587	190.044059	1415.930646
FAST-log	200000	10000	2451.019643	814.398221	3265.417864
FAST-log	300000	10000	3473.908172	1895.812553	5369.720725
FAST-log	400000	10000	3697.871924	2896.011527	6593.883451
FAST-log	500000	10000	3845.962962	5094.06836	8940.031322
FAST-log	600000	10000	4057.059129	6487.17777	10544.236899
FAST-log	700000	10000	4810.943179	8404.563123	13215.506302
FAST-log	800000	10000	4913.035679	10861.447167	15774.482846
FAST-log	900000	10000	5332.573974	13232.031819	18564.605793
FAST-log	1000000	10000	5786.643399	16384.04007	22170.683469
FAST-log	1000	100000	109.272982	0.109102	109.382084
FAST-log	2000	100000	135.893872	0.24937	136.143242
FAST-log	3000	100000	203.414627	0.376549	203.791176
FAST-log	4000	100000	243.646358	0.566056	244.212414
FAST-log	5000	100000	308.701111	0.714191	309.415302
FAST-log	6000	100000	382.000422	1.011305	383.011727
FAST-log	7000	100000	434.986468	1.025419	436.011887
FAST-log	8000	100000	519.860355	1.563082	521.423437
FAST-log	9000	100000	594.085773	1.638391	595.724164
FAST-log	10000	100000	606.612803	1.528788	608.141591
FAST-log	20000	100000	1241.845247	5.496691	1247.341938
FAST-log	30000	100000	1856.920651	14.405833	1871.326484
FAST-log	40000	100000	2425.786075	25.294537	2451.080612
FAST-log	50000	100000	3259.592384	37.980681	3297.573065
FAST-log	60000	100000	3563.426021	61.720975	3625.146996
FAST-log	70000	100000	4225.823668	81.278998	4307.102666
FAST-log	80000	100000	5005.30444	107.678668	5112.983108
FAST-log	90000	100000	5326.302142	139.364079	5465.666221
FAST-log	100000	100000	6092.729644	185.577693	6278.307337
FAST-log	200000	100000	18205.388597	808.120111	19013.508708
FAST-log	300000	100000	20562.860854	1946.30056	22509.161414
FAST-log	400000	100000	28799.241944	3218.526194	32017.768138
FAST-log	500000	100000	29137.44117	5365.759972	34503.201142
FAST-log	600000	100000	34623.205409	6381.085743	41004.291152
FAST-log	700000	100000	40506.281794	8355.175798	48861.457592
FAST-log	800000	100000	54534.664542	10907.104093	65441.768635
FAST-log	900000	100000	62798.414032	13306.9437	76105.357732
FAST-log	1000000	100000	83606.939703	16197.384768	99804.324471
FAST-one	1000	1000	0.655301	0.178413	0.833714
FAST-one	2000	1000	1.280511	0.475173	1.755684
FAST-one	3000	1000	1.819135	0.995998	2.815133
FAST-one	4000	1000	2.430847	1.713859	4.144706
FAST-one	5000	1000	3.04387	2.612756	5.656626
FAST-one	6000	1000	3.571519	3.643703	7.215222
FAST-one	7000	1000	4.176479	4.923993	9.100472
FAST-one	8000	1000	4.77476	6.344902	11.119662
FAST-one	9000	1000	8.226958	8.338144	16.565102
FAST-one	10000	1000	11.819171	10.169453	21.988624
FAST-one	20000	1000	22.301578	40.352513	62.654091
FAST-one	30000	1000	35.459537	93.516886	128.976423
FAST-one	40000	1000	35.969079	183.29164	219.260719
FAST-one	50000	1000	41.891371	287.894288	329.785659
FAST-one	60000	1000	47.200242	442.44298	489.643222
FAST-one	70000	1000	47.84659	627.785101	675.631691
FAST-one	80000	1000	53.685323	728.307927	781.99325
FAST-one	90000	1000	57.983598	868.458896	926.442494
FAST-one	100000	1000	60.073044	1107.517804	1167.590848
FAST-one	200000	1000	119.670547	4917.749225	5037.419772
FAST-one	300000	1000	179.204608	12726.464989	12905.669597
FAST-one	400000	1000	238.801952	24488.34172	24727.143672
FAST-one	500000	1000	299.13992	38937.565625	39236.705545
FAST-one	600000	1000	358.536404	54206.856233	54565.392637
FAST-one	700000	1000	419.804493	104770.730562	105190.535055
FAST-one	800000	1000	478.341648	138357.089875	138835.431523
FAST-one	900000	1000	1005.384331	180025.766079	181031.15041
FAST-one	1000000	1000	1009.076095	304062.108425	305071.18452
FAST-one	1000	10000	5.899462	0.185717	6.085179
FAST-one	2000	10000	11.534227	0.454014	11.988241
FAST-one	3000	10000	17.231885	0.958397	18.190282
FAST-one	4000	10000	22.960773	1.652563	24.613336
FAST-one	5000	10000	28.829545	2.502931	31.332476
FAST-one	6000	10000	34.623473	3.537649	38.161122
FAST-one	7000	10000	40.583757	4.75274	45.336497
FAST-one	8000	10000	46.253683	6.148827	52.40251
FAST-one	9000	10000	52.102532	8.241828	60.34436
FAST-one	10000	10000	57.612042	10.256224	67.868266
FAST-one	20000	10000	115.565402	42.566214	158.131616
FAST-one	30000	10000	175.917852	102.788571	278.706423
FAST-one	40000	10000	233.786581	204.639259	438.42584
FAST-one	50000	10000	289.935964	337.720639	627.656603
FAST-one	60000	10000	346.018246	500.631676	846.649922
FAST-one	70000	10000	402.623211	708.948758	1111.571969
FAST-one	80000	10000	460.097686	828.42029	1288.517976
FAST-one	90000	10000	537.202867	941.573852	1478.776719
FAST-one	100000	10000	1225.886587	1206.868083	2432.75467
FAST-one	200000	10000	2451.019643	6267.556331	8718.575974
FAST-one	300000	10000	3473.908172	21358.637317	24832.545489
FAST-one	400000	10000	3697.871924	32293.002058	35990.873982
FAST-one	500000	10000	3845.962962	47243.080484	51089.043446
FAST-one	600000	10000	4057.059129	75785.554746	79842.613875
FAST-one	700000	10000	4810.943179	115736.187721	120547.1309
FAST-one	800000	10000	4913.035679	141148.699838	146061.735517
FAST-one	1000	100000	109.272982	0.189117	109.462099
FAST-one	2000	100000	135.893872	0.466883	136.360755
FAST-one	3000	100000	203.414627	0.96175	204.376377
FAST-one	4000	100000	243.646358	1.683408	245.329766
FAST-one	5000	100000	308.701111	2.544494	311.245605
FAST-one	6000	100000	382.000422	3.657828	385.65825
FAST-one	7000	100000	434.986468	4.841282	439.82775
FAST-one	8000	100000	519.860355	6.360517	526.220872
FAST-one	9000	100000	594.085773	8.482012	602.567785
FAST-one	10000	100000	606.612803	10.586749	617.199552
FAST-one	20000	100000	1241.845247	43.20066	1285.045907
FAST-one	30000	100000	1856.920651	104.425027	1961.345678
FAST-one	40000	100000	2425.786075	208.309048	2634.095123
FAST-one	50000	100000	3259.592384	343.491108	3603.083492
FAST-one	60000	100000	3563.426021	511.266781	4074.692802
FAST-one	70000	100000	4225.823668	724.433775	4950.257443
FAST-one	80000	100000	5005.30444	840.047218	5845.351658
FAST-one	90000	100000	5326.302142	954.309289	6280.611431
FAST-one	100000	100000	6092.729644	1214.424218	7307.153862
FAST-one	200000	100000	18205.388597	6309.962944	24515.351541
FAST-one	300000	100000	20562.860854	20890.38898	41453.249834
FAST-one	400000	100000	28799.241944	30320.678896	59119.92084
FAST-one	500000	100000	29137.44117	67479.229186	96616.670356
FAST-one	600000	100000	34623.205409	75484.492278	110107.697687
FAST-one	700000	100000	40506.281794	114371.741205	154878.022999
FAST-one	800000	100000	54534.664542	172834.668256	227369.332798
FAST-pw	1000	1000	0.655301	0.363086	1.018387
FAST-pw	2000	1000	1.280511	1.1307	2.411211
FAST-pw	3000	1000	1.819135	2.438858	4.257993
FAST-pw	4000	1000	2.430847	4.383308	6.814155
FAST-pw	5000	1000	3.04387	6.755816	9.799686
FAST-pw	6000	1000	3.571519	10.024187	13.595706
